"","1st_network","Region","Age_group","Hub_consensus","freq"
"77","CON","Cingulum_Ant_L_3","Middle","Connector",0.388888888888889
"78","CON","Cingulum_Ant_L_3","Middle","Peripheral",0.00617283950617284
"79","CON","Cingulum_Ant_L_3","Middle","Provincial",0.135802469135802
"80","CON","Cingulum_Ant_L_3","Middle","Satellite",0.469135802469136
"81","CON","Cingulum_Ant_L_3","Old","Connector",0.316062176165803
"82","CON","Cingulum_Ant_L_3","Old","Peripheral",0.0362694300518135
"83","CON","Cingulum_Ant_L_3","Old","Provincial",0.160621761658031
"84","CON","Cingulum_Ant_L_3","Old","Satellite",0.487046632124352
"85","CON","Cingulum_Ant_L_4","Young","Connector",0.777777777777778
"86","CON","Cingulum_Ant_L_4","Young","Peripheral",0.0170940170940171
"87","CON","Cingulum_Ant_L_4","Young","Provincial",0.0598290598290598
"88","CON","Cingulum_Ant_L_4","Young","Satellite",0.145299145299145
"89","CON","Cingulum_Ant_L_4","Middle","Connector",0.831858407079646
"90","CON","Cingulum_Ant_L_4","Middle","Peripheral",0.0353982300884956
"91","CON","Cingulum_Ant_L_4","Middle","Provincial",0.0442477876106195
"92","CON","Cingulum_Ant_L_4","Middle","Satellite",0.0884955752212389
"93","CON","Cingulum_Ant_L_4","Old","Connector",0.392
"94","CON","Cingulum_Ant_L_4","Old","Peripheral",0.12
"95","CON","Cingulum_Ant_L_4","Old","Provincial",0.128
"96","CON","Cingulum_Ant_L_4","Old","Satellite",0.36
"97","CON","Cingulum_Ant_L_5","Young","Connector",0.842105263157895
"98","CON","Cingulum_Ant_L_5","Young","Peripheral",0.0075187969924812
"99","CON","Cingulum_Ant_L_5","Young","Provincial",0.0601503759398496
"100","CON","Cingulum_Ant_L_5","Young","Satellite",0.0902255639097744
"101","CON","Cingulum_Ant_L_5","Middle","Connector",0.875
"102","CON","Cingulum_Ant_L_5","Middle","Peripheral",0.0138888888888889
"103","CON","Cingulum_Ant_L_5","Middle","Provincial",0.0555555555555556
"104","CON","Cingulum_Ant_L_5","Middle","Satellite",0.0555555555555556
"105","CON","Cingulum_Ant_L_5","Old","Connector",0.56441717791411
"106","CON","Cingulum_Ant_L_5","Old","Peripheral",0.0674846625766871
"107","CON","Cingulum_Ant_L_5","Old","Provincial",0.190184049079755
"108","CON","Cingulum_Ant_L_5","Old","Satellite",0.177914110429448
"109","CON","Cingulum_Ant_R_2","Young","Connector",0.741071428571429
"110","CON","Cingulum_Ant_R_2","Young","Peripheral",0.0446428571428571
"111","CON","Cingulum_Ant_R_2","Young","Provincial",0.0982142857142857
"112","CON","Cingulum_Ant_R_2","Young","Satellite",0.116071428571429
"113","CON","Cingulum_Ant_R_2","Middle","Connector",0.805084745762712
"114","CON","Cingulum_Ant_R_2","Middle","Peripheral",0.0169491525423729
"115","CON","Cingulum_Ant_R_2","Middle","Provincial",0.076271186440678
"116","CON","Cingulum_Ant_R_2","Middle","Satellite",0.101694915254237
"117","CON","Cingulum_Ant_R_2","Old","Connector",0.4609375
"118","CON","Cingulum_Ant_R_2","Old","Peripheral",0.1015625
"119","CON","Cingulum_Ant_R_2","Old","Provincial",0.203125
"120","CON","Cingulum_Ant_R_2","Old","Satellite",0.234375
"121","SMN","Cingulum_Mid_L_1","Young","Connector",0.292929292929293
"122","SMN","Cingulum_Mid_L_1","Young","Peripheral",0.0404040404040404
"123","SMN","Cingulum_Mid_L_1","Young","Provincial",0.313131313131313
"124","SMN","Cingulum_Mid_L_1","Young","Satellite",0.353535353535354
"125","SMN","Cingulum_Mid_L_1","Middle","Connector",0.321739130434783
"126","SMN","Cingulum_Mid_L_1","Middle","Peripheral",0.0260869565217391
"127","SMN","Cingulum_Mid_L_1","Middle","Provincial",0.391304347826087
"128","SMN","Cingulum_Mid_L_1","Middle","Satellite",0.260869565217391
"129","SMN","Cingulum_Mid_L_1","Old","Connector",0.441176470588235
"130","SMN","Cingulum_Mid_L_1","Old","Peripheral",0.0441176470588235
"131","SMN","Cingulum_Mid_L_1","Old","Provincial",0.132352941176471
"132","SMN","Cingulum_Mid_L_1","Old","Satellite",0.382352941176471
"133","CON","Cingulum_Mid_L_2","Young","Connector",0.920529801324503
"134","CON","Cingulum_Mid_L_2","Young","Peripheral",0
"135","CON","Cingulum_Mid_L_2","Young","Provincial",0.0794701986754967
"136","CON","Cingulum_Mid_L_2","Young","Satellite",0
"137","CON","Cingulum_Mid_L_2","Middle","Connector",0.780346820809249
"138","CON","Cingulum_Mid_L_2","Middle","Peripheral",0.00578034682080925
"139","CON","Cingulum_Mid_L_2","Middle","Provincial",0.179190751445087
"140","CON","Cingulum_Mid_L_2","Middle","Satellite",0.0346820809248555
"141","CON","Cingulum_Mid_L_2","Old","Connector",0.655813953488372
"142","CON","Cingulum_Mid_L_2","Old","Peripheral",0.00465116279069767
"143","CON","Cingulum_Mid_L_2","Old","Provincial",0.274418604651163
"144","CON","Cingulum_Mid_L_2","Old","Satellite",0.0651162790697674
"145","DMN","Cingulum_Mid_L_3","Young","Connector",0.265486725663717
"146","DMN","Cingulum_Mid_L_3","Young","Peripheral",0.0530973451327434
"147","DMN","Cingulum_Mid_L_3","Young","Provincial",0.0973451327433628
"148","DMN","Cingulum_Mid_L_3","Young","Satellite",0.584070796460177
"149","DMN","Cingulum_Mid_L_3","Middle","Connector",0.348684210526316
"150","DMN","Cingulum_Mid_L_3","Middle","Peripheral",0.0131578947368421
"151","DMN","Cingulum_Mid_L_3","Middle","Provincial",0.0723684210526316
"152","DMN","Cingulum_Mid_L_3","Middle","Satellite",0.565789473684211
"153","DMN","Cingulum_Mid_L_3","Old","Connector",0.411483253588517
"154","DMN","Cingulum_Mid_L_3","Old","Peripheral",0.0334928229665072
"155","DMN","Cingulum_Mid_L_3","Old","Provincial",0.100478468899522
"156","DMN","Cingulum_Mid_L_3","Old","Satellite",0.454545454545455
"157","CON","Cingulum_Mid_R_3","Young","Connector",0.916666666666667
"158","CON","Cingulum_Mid_R_3","Young","Peripheral",0
"159","CON","Cingulum_Mid_R_3","Young","Provincial",0.0347222222222222
"160","CON","Cingulum_Mid_R_3","Young","Satellite",0.0486111111111111
"161","CON","Cingulum_Mid_R_3","Middle","Connector",0.905882352941176
"162","CON","Cingulum_Mid_R_3","Middle","Peripheral",0.00588235294117647
"163","CON","Cingulum_Mid_R_3","Middle","Provincial",0.0411764705882353
"164","CON","Cingulum_Mid_R_3","Middle","Satellite",0.0470588235294118
"165","CON","Cingulum_Mid_R_3","Old","Connector",0.75
"166","CON","Cingulum_Mid_R_3","Old","Peripheral",0.00980392156862745
"167","CON","Cingulum_Mid_R_3","Old","Provincial",0.0637254901960784
"168","CON","Cingulum_Mid_R_3","Old","Satellite",0.176470588235294
"169","DMN","Cingulum_Post_L","Young","Connector",0.120879120879121
"170","DMN","Cingulum_Post_L","Young","Peripheral",0.0549450549450549
"171","DMN","Cingulum_Post_L","Young","Provincial",0.197802197802198
"172","DMN","Cingulum_Post_L","Young","Satellite",0.626373626373626
"173","DMN","Cingulum_Post_L","Middle","Connector",0.297520661157025
"174","DMN","Cingulum_Post_L","Middle","Peripheral",0.0330578512396694
"175","DMN","Cingulum_Post_L","Middle","Provincial",0.132231404958678
"176","DMN","Cingulum_Post_L","Middle","Satellite",0.537190082644628
"177","DMN","Cingulum_Post_L","Old","Connector",0.341176470588235
"178","DMN","Cingulum_Post_L","Old","Peripheral",0.0352941176470588
"179","DMN","Cingulum_Post_L","Old","Provincial",0.182352941176471
"180","DMN","Cingulum_Post_L","Old","Satellite",0.441176470588235
"181","DMN","Frontal_Inf_Orb_R_2","Young","Connector",0.276785714285714
"182","DMN","Frontal_Inf_Orb_R_2","Young","Peripheral",0.107142857142857
"183","DMN","Frontal_Inf_Orb_R_2","Young","Provincial",0.339285714285714
"184","DMN","Frontal_Inf_Orb_R_2","Young","Satellite",0.276785714285714
"185","DMN","Frontal_Inf_Orb_R_2","Middle","Connector",0.264150943396226
"186","DMN","Frontal_Inf_Orb_R_2","Middle","Peripheral",0.0660377358490566
"187","DMN","Frontal_Inf_Orb_R_2","Middle","Provincial",0.245283018867925
"188","DMN","Frontal_Inf_Orb_R_2","Middle","Satellite",0.424528301886792
"189","DMN","Frontal_Inf_Orb_R_2","Old","Connector",0.181818181818182
"190","DMN","Frontal_Inf_Orb_R_2","Old","Peripheral",0.146853146853147
"191","DMN","Frontal_Inf_Orb_R_2","Old","Provincial",0.195804195804196
"192","DMN","Frontal_Inf_Orb_R_2","Old","Satellite",0.475524475524476
"193","Language","Frontal_Inf_Tri_L_1","Young","Connector",0.381294964028777
"194","Language","Frontal_Inf_Tri_L_1","Young","Peripheral",0.0863309352517986
"195","Language","Frontal_Inf_Tri_L_1","Young","Provincial",0.194244604316547
"196","Language","Frontal_Inf_Tri_L_1","Young","Satellite",0.338129496402878
"197","Language","Frontal_Inf_Tri_L_1","Middle","Connector",0.495934959349593
"198","Language","Frontal_Inf_Tri_L_1","Middle","Peripheral",0.0894308943089431
"199","Language","Frontal_Inf_Tri_L_1","Middle","Provincial",0.138211382113821
"200","Language","Frontal_Inf_Tri_L_1","Middle","Satellite",0.276422764227642
"201","Language","Frontal_Inf_Tri_L_1","Old","Connector",0.432432432432432
"202","Language","Frontal_Inf_Tri_L_1","Old","Peripheral",0.0540540540540541
"203","Language","Frontal_Inf_Tri_L_1","Old","Provincial",0.172972972972973
"204","Language","Frontal_Inf_Tri_L_1","Old","Satellite",0.340540540540541
"205","FPN","Frontal_Inf_Tri_L_2","Young","Connector",0.324324324324324
"206","FPN","Frontal_Inf_Tri_L_2","Young","Peripheral",0.0540540540540541
"207","FPN","Frontal_Inf_Tri_L_2","Young","Provincial",0.540540540540541
"208","FPN","Frontal_Inf_Tri_L_2","Young","Satellite",0.0810810810810811
"209","FPN","Frontal_Inf_Tri_L_2","Middle","Connector",0.563025210084034
"210","FPN","Frontal_Inf_Tri_L_2","Middle","Peripheral",0.0420168067226891
"211","FPN","Frontal_Inf_Tri_L_2","Middle","Provincial",0.285714285714286
"212","FPN","Frontal_Inf_Tri_L_2","Middle","Satellite",0.109243697478992
"213","FPN","Frontal_Inf_Tri_L_2","Old","Connector",0.494318181818182
"214","FPN","Frontal_Inf_Tri_L_2","Old","Peripheral",0.0511363636363636
"215","FPN","Frontal_Inf_Tri_L_2","Old","Provincial",0.369318181818182
"216","FPN","Frontal_Inf_Tri_L_2","Old","Satellite",0.0852272727272727
"217","Language","Frontal_Inf_Tri_L_3","Young","Connector",0.381679389312977
"218","Language","Frontal_Inf_Tri_L_3","Young","Peripheral",0.0152671755725191
"219","Language","Frontal_Inf_Tri_L_3","Young","Provincial",0.206106870229008
"220","Language","Frontal_Inf_Tri_L_3","Young","Satellite",0.396946564885496
"221","Language","Frontal_Inf_Tri_L_3","Middle","Connector",0.482558139534884
"222","Language","Frontal_Inf_Tri_L_3","Middle","Peripheral",0
"223","Language","Frontal_Inf_Tri_L_3","Middle","Provincial",0.151162790697674
"224","Language","Frontal_Inf_Tri_L_3","Middle","Satellite",0.366279069767442
"225","Language","Frontal_Inf_Tri_L_3","Old","Connector",0.513513513513513
"226","Language","Frontal_Inf_Tri_L_3","Old","Peripheral",0.00900900900900901
"227","Language","Frontal_Inf_Tri_L_3","Old","Provincial",0.0810810810810811
"228","Language","Frontal_Inf_Tri_L_3","Old","Satellite",0.396396396396396
"229","FPN","Frontal_Inf_Tri_R_2","Young","Connector",0.207547169811321
"230","FPN","Frontal_Inf_Tri_R_2","Young","Peripheral",0.132075471698113
"231","FPN","Frontal_Inf_Tri_R_2","Young","Provincial",0.0566037735849057
"232","FPN","Frontal_Inf_Tri_R_2","Young","Satellite",0.60377358490566
"233","FPN","Frontal_Inf_Tri_R_2","Middle","Connector",0.411764705882353
"234","FPN","Frontal_Inf_Tri_R_2","Middle","Peripheral",0.127450980392157
"235","FPN","Frontal_Inf_Tri_R_2","Middle","Provincial",0.00980392156862745
"236","FPN","Frontal_Inf_Tri_R_2","Middle","Satellite",0.450980392156863
"237","FPN","Frontal_Inf_Tri_R_2","Old","Connector",0.161073825503356
"238","FPN","Frontal_Inf_Tri_R_2","Old","Peripheral",0.295302013422819
"239","FPN","Frontal_Inf_Tri_R_2","Old","Provincial",0.0335570469798658
"240","FPN","Frontal_Inf_Tri_R_2","Old","Satellite",0.51006711409396
"241","DMN","Frontal_Mid_L_1","Young","Connector",0.413793103448276
"242","DMN","Frontal_Mid_L_1","Young","Peripheral",0.0344827586206897
"243","DMN","Frontal_Mid_L_1","Young","Provincial",0.387931034482759
"244","DMN","Frontal_Mid_L_1","Young","Satellite",0.163793103448276
"245","DMN","Frontal_Mid_L_1","Middle","Connector",0.531034482758621
"246","DMN","Frontal_Mid_L_1","Middle","Peripheral",0.00689655172413793
"247","DMN","Frontal_Mid_L_1","Middle","Provincial",0.324137931034483
"248","DMN","Frontal_Mid_L_1","Middle","Satellite",0.137931034482759
"249","DMN","Frontal_Mid_L_1","Old","Connector",0.5678391959799
"250","DMN","Frontal_Mid_L_1","Old","Peripheral",0.0100502512562814
"251","DMN","Frontal_Mid_L_1","Old","Provincial",0.321608040201005
"252","DMN","Frontal_Mid_L_1","Old","Satellite",0.100502512562814
"253","CON","Frontal_Mid_L_2","Young","Connector",0.479338842975207
"254","CON","Frontal_Mid_L_2","Young","Peripheral",0.0330578512396694
"255","CON","Frontal_Mid_L_2","Young","Provincial",0.28099173553719
"256","CON","Frontal_Mid_L_2","Young","Satellite",0.206611570247934
"257","CON","Frontal_Mid_L_2","Middle","Connector",0.608
"258","CON","Frontal_Mid_L_2","Middle","Peripheral",0.04
"259","CON","Frontal_Mid_L_2","Middle","Provincial",0.24
"260","CON","Frontal_Mid_L_2","Middle","Satellite",0.112
"261","CON","Frontal_Mid_L_2","Old","Connector",0.50887573964497
"262","CON","Frontal_Mid_L_2","Old","Peripheral",0.0532544378698225
"263","CON","Frontal_Mid_L_2","Old","Provincial",0.21301775147929
"264","CON","Frontal_Mid_L_2","Old","Satellite",0.224852071005917
"265","FPN","Frontal_Mid_L_3","Young","Connector",0.294871794871795
"266","FPN","Frontal_Mid_L_3","Young","Peripheral",0.166666666666667
"267","FPN","Frontal_Mid_L_3","Young","Provincial",0.448717948717949
"268","FPN","Frontal_Mid_L_3","Young","Satellite",0.0897435897435897
"269","FPN","Frontal_Mid_L_3","Middle","Connector",0.366666666666667
"270","FPN","Frontal_Mid_L_3","Middle","Peripheral",0.144444444444444
"271","FPN","Frontal_Mid_L_3","Middle","Provincial",0.211111111111111
"272","FPN","Frontal_Mid_L_3","Middle","Satellite",0.277777777777778
"273","FPN","Frontal_Mid_L_3","Old","Connector",0.319327731092437
"274","FPN","Frontal_Mid_L_3","Old","Peripheral",0.252100840336134
"275","FPN","Frontal_Mid_L_3","Old","Provincial",0.218487394957983
"276","FPN","Frontal_Mid_L_3","Old","Satellite",0.210084033613445
"277","DMN","Frontal_Mid_L_4","Young","Connector",0.277227722772277
"278","DMN","Frontal_Mid_L_4","Young","Peripheral",0.0891089108910891
"279","DMN","Frontal_Mid_L_4","Young","Provincial",0.0297029702970297
"280","DMN","Frontal_Mid_L_4","Young","Satellite",0.603960396039604
"281","DMN","Frontal_Mid_L_4","Middle","Connector",0.472222222222222
"282","DMN","Frontal_Mid_L_4","Middle","Peripheral",0.12037037037037
"283","DMN","Frontal_Mid_L_4","Middle","Provincial",0.0277777777777778
"284","DMN","Frontal_Mid_L_4","Middle","Satellite",0.37962962962963
"285","DMN","Frontal_Mid_L_4","Old","Connector",0.220689655172414
"286","DMN","Frontal_Mid_L_4","Old","Peripheral",0.158620689655172
"287","DMN","Frontal_Mid_L_4","Old","Provincial",0.0206896551724138
"288","DMN","Frontal_Mid_L_4","Old","Satellite",0.6
"289","CON","Frontal_Mid_L_5","Young","Connector",0.44
"290","CON","Frontal_Mid_L_5","Young","Peripheral",0.04
"291","CON","Frontal_Mid_L_5","Young","Provincial",0.312
"292","CON","Frontal_Mid_L_5","Young","Satellite",0.208
"293","CON","Frontal_Mid_L_5","Middle","Connector",0.450819672131148
"294","CON","Frontal_Mid_L_5","Middle","Peripheral",0.0491803278688525
"295","CON","Frontal_Mid_L_5","Middle","Provincial",0.155737704918033
"296","CON","Frontal_Mid_L_5","Middle","Satellite",0.344262295081967
"297","CON","Frontal_Mid_L_5","Old","Connector",0.459119496855346
"298","CON","Frontal_Mid_L_5","Old","Peripheral",0.10062893081761
"299","CON","Frontal_Mid_L_5","Old","Provincial",0.157232704402516
"300","CON","Frontal_Mid_L_5","Old","Satellite",0.283018867924528
"301","FPN","Frontal_Mid_Orb_L_1","Young","Connector",0.0882352941176471
"302","FPN","Frontal_Mid_Orb_L_1","Young","Peripheral",0.235294117647059
"303","FPN","Frontal_Mid_Orb_L_1","Young","Provincial",0.132352941176471
"304","FPN","Frontal_Mid_Orb_L_1","Young","Satellite",0.544117647058823
"305","FPN","Frontal_Mid_Orb_L_1","Middle","Connector",0.0441176470588235
"306","FPN","Frontal_Mid_Orb_L_1","Middle","Peripheral",0.411764705882353
"307","FPN","Frontal_Mid_Orb_L_1","Middle","Provincial",0.0735294117647059
"308","FPN","Frontal_Mid_Orb_L_1","Middle","Satellite",0.470588235294118
"309","FPN","Frontal_Mid_Orb_L_1","Old","Connector",0.0476190476190476
"310","FPN","Frontal_Mid_Orb_L_1","Old","Peripheral",0.428571428571429
"311","FPN","Frontal_Mid_Orb_L_1","Old","Provincial",0
"312","FPN","Frontal_Mid_Orb_L_1","Old","Satellite",0.523809523809524
"313","FPN","Frontal_Mid_Orb_L_2","Young","Connector",0.255813953488372
"314","FPN","Frontal_Mid_Orb_L_2","Young","Peripheral",0.0813953488372093
"315","FPN","Frontal_Mid_Orb_L_2","Young","Provincial",0.569767441860465
"316","FPN","Frontal_Mid_Orb_L_2","Young","Satellite",0.0930232558139535
"317","FPN","Frontal_Mid_Orb_L_2","Middle","Connector",0.326923076923077
"318","FPN","Frontal_Mid_Orb_L_2","Middle","Peripheral",0.0769230769230769
"319","FPN","Frontal_Mid_Orb_L_2","Middle","Provincial",0.442307692307692
"320","FPN","Frontal_Mid_Orb_L_2","Middle","Satellite",0.153846153846154
"321","FPN","Frontal_Mid_Orb_L_2","Old","Connector",0.376811594202899
"322","FPN","Frontal_Mid_Orb_L_2","Old","Peripheral",0.101449275362319
"323","FPN","Frontal_Mid_Orb_L_2","Old","Provincial",0.340579710144928
"324","FPN","Frontal_Mid_Orb_L_2","Old","Satellite",0.181159420289855
"325","CON","Frontal_Sup_L_1","Young","Connector",0.360294117647059
"326","CON","Frontal_Sup_L_1","Young","Peripheral",0.0661764705882353
"327","CON","Frontal_Sup_L_1","Young","Provincial",0.0735294117647059
"328","CON","Frontal_Sup_L_1","Young","Satellite",0.5
"329","CON","Frontal_Sup_L_1","Middle","Connector",0.422222222222222
"330","CON","Frontal_Sup_L_1","Middle","Peripheral",0.0148148148148148
"331","CON","Frontal_Sup_L_1","Middle","Provincial",0.155555555555556
"332","CON","Frontal_Sup_L_1","Middle","Satellite",0.407407407407407
"333","CON","Frontal_Sup_L_1","Old","Connector",0.366279069767442
"334","CON","Frontal_Sup_L_1","Old","Peripheral",0.0232558139534884
"335","CON","Frontal_Sup_L_1","Old","Provincial",0.145348837209302
"336","CON","Frontal_Sup_L_1","Old","Satellite",0.465116279069767
"337","DMN","Frontal_Sup_L_2","Young","Connector",0.32520325203252
"338","DMN","Frontal_Sup_L_2","Young","Peripheral",0.016260162601626
"339","DMN","Frontal_Sup_L_2","Young","Provincial",0.447154471544715
"340","DMN","Frontal_Sup_L_2","Young","Satellite",0.211382113821138
"341","DMN","Frontal_Sup_L_2","Middle","Connector",0.5
"342","DMN","Frontal_Sup_L_2","Middle","Peripheral",0
"343","DMN","Frontal_Sup_L_2","Middle","Provincial",0.358108108108108
"344","DMN","Frontal_Sup_L_2","Middle","Satellite",0.141891891891892
"345","DMN","Frontal_Sup_L_2","Old","Connector",0.450495049504951
"346","DMN","Frontal_Sup_L_2","Old","Peripheral",0.00495049504950495
"347","DMN","Frontal_Sup_L_2","Old","Provincial",0.386138613861386
"348","DMN","Frontal_Sup_L_2","Old","Satellite",0.158415841584158
"349","DMN","Frontal_Sup_L_4","Young","Connector",0.348837209302326
"350","DMN","Frontal_Sup_L_4","Young","Peripheral",0.0155038759689922
"351","DMN","Frontal_Sup_L_4","Young","Provincial",0.457364341085271
"352","DMN","Frontal_Sup_L_4","Young","Satellite",0.178294573643411
"353","DMN","Frontal_Sup_L_4","Middle","Connector",0.384615384615385
"354","DMN","Frontal_Sup_L_4","Middle","Peripheral",0
"355","DMN","Frontal_Sup_L_4","Middle","Provincial",0.314685314685315
"356","DMN","Frontal_Sup_L_4","Middle","Satellite",0.300699300699301
"357","DMN","Frontal_Sup_L_4","Old","Connector",0.439306358381503
"358","DMN","Frontal_Sup_L_4","Old","Peripheral",0.0115606936416185
"359","DMN","Frontal_Sup_L_4","Old","Provincial",0.265895953757225
"360","DMN","Frontal_Sup_L_4","Old","Satellite",0.283236994219653
"361","CON","Frontal_Sup_L_6","Young","Connector",0.372727272727273
"362","CON","Frontal_Sup_L_6","Young","Peripheral",0.0727272727272727
"363","CON","Frontal_Sup_L_6","Young","Provincial",0.236363636363636
"364","CON","Frontal_Sup_L_6","Young","Satellite",0.318181818181818
"365","CON","Frontal_Sup_L_6","Middle","Connector",0.427350427350427
"366","CON","Frontal_Sup_L_6","Middle","Peripheral",0.11965811965812
"367","CON","Frontal_Sup_L_6","Middle","Provincial",0.196581196581197
"368","CON","Frontal_Sup_L_6","Middle","Satellite",0.256410256410256
"369","CON","Frontal_Sup_L_6","Old","Connector",0.414965986394558
"370","CON","Frontal_Sup_L_6","Old","Peripheral",0.115646258503401
"371","CON","Frontal_Sup_L_6","Old","Provincial",0.129251700680272
"372","CON","Frontal_Sup_L_6","Old","Satellite",0.340136054421769
"373","FPN","Frontal_Sup_Medial_L_4","Young","Connector",0.652777777777778
"374","FPN","Frontal_Sup_Medial_L_4","Young","Peripheral",0.0208333333333333
"375","FPN","Frontal_Sup_Medial_L_4","Young","Provincial",0.236111111111111
"376","FPN","Frontal_Sup_Medial_L_4","Young","Satellite",0.0902777777777778
"377","FPN","Frontal_Sup_Medial_L_4","Middle","Connector",0.751552795031056
